group_set,group_value,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,efg_pct,blka,pct_ast_2pm,pct_uast_2pm,pct_ast_3pm,pct_uast_3pm,pct_ast_fgm,pct_uast_fgm,fgm_rank,fga_rank,fg_pct_rank,fg3m_rank,fg3a_rank,fg3_pct_rank,efg_pct_rank,blka_rank,pct_ast_2pm_rank,pct_uast_2pm_rank,pct_ast_3pm_rank,pct_uast_3pm_rank,pct_ast_fgm_rank,pct_uast_fgm_rank,cfid,cfparams,na,time
Shot Type,Running Reverse Layup Shot,3,4,0.75,0,0,0,0.75,0,0,1,0,0,0,1,35,35,14,8,9,8,14,1,33,1,7,8,36,1,174,Running Reverse Layup Shot,NA,B4
Shot Type,Step Back Bank Jump Shot,1,1,1,0,0,0,1,0,0,1,0,0,0,1,40,40,1,8,9,8,1,1,33,1,7,8,36,1,174,Step Back Bank Jump Shot,NA,B4
Shot Type,Step Back Jump shot,159,422,0.377,150,396,0.379,0.555,4,0.111,0.889,0.1,0.9,0.101,0.899,3,3,40,2,2,5,27,33,32,12,6,2,35,9,174,Step Back Jump shot,NA,B4
Shot Type,Tip Dunk Shot,11,13,0.846,0,0,0,0.846,0,0,1,0,0,0,1,25,29,12,8,9,8,12,1,33,1,7,8,36,1,174,Tip Dunk Shot,NA,B4
Shot Type,Tip Layup Shot,30,67,0.448,0,0,0,0.448,0,0,1,0,0,0,1,14,11,34,8,9,8,37,1,33,1,7,8,36,1,174,Tip Layup Shot,NA,B4
Shot Type,Turnaround Bank Hook Shot,1,1,1,0,0,0,1,0,1,0,0,0,1,0,40,40,1,8,9,8,1,1,1,33,7,8,1,33,174,Turnaround Bank Hook Shot,NA,B4
Shot Type,Turnaround Fadeaway Bank Jump Shot,4,13,0.308,0,0,0,0.308,0,0.25,0.75,0,0,0.25,0.75,32,29,42,8,9,8,42,1,27,17,7,8,29,15,174,Turnaround Fadeaway Bank Jump Shot,NA,B4
Shot Type,Turnaround Fadeaway shot,10,24,0.417,0,1,0,0.417,0,0,1,0,0,0,1,26,24,36,8,7,8,40,1,33,1,7,8,36,1,174,Turnaround Fadeaway shot,NA,B4
Shot Type,Turnaround Hook Shot,8,17,0.471,0,0,0,0.471,1,1,0,0,0,1,0,28,26,28,8,9,8,33,23,1,33,7,8,1,33,174,Turnaround Hook Shot,NA,B4
Shot Type,Turnaround Jump Shot,3,15,0.2,0,0,0,0.2,3,0,1,0,0,0,1,35,27,43,8,9,8,43,32,33,1,7,8,36,1,174,Turnaround Jump Shot,NA,B4
Assisted By,201583,"Anderson, Ryan",2,2,1,2,2,1,1.5,0,0,0,1,0,1,0,14,14,1,13,13,1,1,1,14,1,1,1,1,1,168,201583,B4
Assisted By,203991,"Capela, Clint",48,48,1,26,26,1,1.271,0,1,0,1,0,1,0,6,6,1,6,6,1,8,1,1,1,1,1,1,1,168,203991,B4
Assisted By,2199,"Chandler, Tyson",6,6,1,1,1,1,1.083,0,1,0,1,0,1,0,13,13,1,14,14,1,15,1,1,1,1,1,1,1,168,2199,B4
Assisted By,1629109,"Clark, Gary",12,12,1,8,8,1,1.333,0,1,0,1,0,1,0,12,12,1,10,10,1,4,1,1,1,1,1,1,1,168,1629109,B4
Assisted By,1629598,"Clemons, Chris",19,19,1,8,8,1,1.211,0,1,0,1,0,1,0,9,9,1,10,10,1,11,1,1,1,1,1,1,1,168,1629598,B4
Assisted By,1626187,"Frazier, Michael",1,1,1,1,1,1,1.5,0,0,0,1,0,1,0,15,15,1,14,14,1,1,1,14,1,1,1,1,1,168,1626187,B4
Assisted By,201569,"Gordon, Eric",32,32,1,19,19,1,1.297,0,1,0,1,0,1,0,8,8,1,7,7,1,6,1,1,1,1,1,1,1,168,201569,B4
Assisted By,201935,"Harden, James",318,318,1,117,117,1,1.184,0,1,0,1,0,1,0,1,1,1,2,2,1,13,1,1,1,1,1,1,1,168,201935,B4
Assisted By,1628392,"Hartenstein, Isaiah",16,16,1,6,6,1,1.188,0,1,0,1,0,1,0,11,11,1,12,12,1,12,1,1,1,1,1,1,1,168,1628392,B4
Assisted By,1627863,"House Jr., Danuel",52,52,1,19,19,1,1.183,0,1,0,1,0,1,0,5,5,1,7,7,1,14,1,1,1,1,1,1,1,168,1627863,B4
Assisted By,203463,"McLemore, Ben",43,43,1,29,29,1,1.337,0,1,0,1,0,1,0,7,7,1,5,5,1,3,1,1,1,1,1,1,1,168,203463,B4
Assisted By,203085,"Rivers, Austin",69,69,1,39,39,1,1.283,0,1,0,1,0,1,0,4,4,1,3,3,1,7,1,1,1,1,1,1,1,168,203085,B4
Assisted By,200757,"Sefolosha, Thabo",18,18,1,11,11,1,1.306,0,1,0,1,0,1,0,10,10,1,9,9,1,5,1,1,1,1,1,1,1,168,200757,B4
Assisted By,200782,"Tucker, P.J.",79,79,1,37,37,1,1.234,0,1,0,1,0,1,0,3,3,1,4,4,1,9,1,1,1,1,1,1,1,168,200782,B4
Assisted By,201566,"Westbrook, Russell",294,294,1,137,137,1,1.233,0,1,0,1,0,1,0,2,2,1,1,1,1,10,1,1,1,1,1,1,1,168,201566,B4
Shot Distance (5ft),Less Than 5 ft.,349,554,0.63,0,0,0,0.63,57,0.407,0.593,0,0,0.407,0.593,1,1,1,4,6,4,1,9,1,5,4,4,4,4,171,Less Than 5 ft.,NA,Af
Shot Distance (5ft),5-9 ft.,22,72,0.306,0,0,0,0.306,13,0.364,0.636,0,0,0.364,0.636,4,4,7,4,6,4,7,8,2,4,4,4,5,3,171,5-9 ft.,NA,Af
Shot Distance (5ft),10-14 ft.,18,52,0.346,0,0,0,0.346,3,0.222,0.778,0,0,0.222,0.778,6,5,5,4,6,4,6,6,4,2,4,4,6,2,171,10-14 ft.,NA,Af
Shot Distance (5ft),15-19 ft.,21,50,0.42,0,0,0,0.42,0,0.095,0.905,0,0,0.095,0.905,5,6,2,4,6,4,5,1,5,1,4,4,7,1,171,15-19 ft.,NA,Af
Shot Distance (5ft),20-24 ft.,97,250,0.388,94,243,0.387,0.576,1,0.333,0.667,0.894,0.106,0.876,0.124,3,3,4,2,2,2,3,5,3,3,1,3,1,7,171,20-24 ft.,NA,Af
Shot Distance (5ft),25-29 ft.,182,536,0.34,182,536,0.34,0.509,8,0,0,0.67,0.33,0.67,0.33,2,2,6,1,1,3,4,7,6,6,3,1,3,5,171,25-29 ft.,NA,Af
Shot Distance (5ft),30-34 ft.,4,10,0.4,4,10,0.4,0.6,0,0,0,0.75,0.25,0.75,0.25,7,7,3,3,3,1,2,1,6,6,2,2,2,6,171,30-34 ft.,NA,Af
Shot Distance (5ft),35-39 ft.,0,1,0,0,1,0,0,0,0,0,0,0,0,0,8,9,8,4,5,4,8,1,6,6,4,4,8,8,171,35-39 ft.,NA,Af
Shot Distance (5ft),40+ ft.,0,6,0,0,6,0,0,0,0,0,0,0,0,0,8,8,8,4,4,4,8,1,6,6,4,4,8,8,171,40+ ft.,NA,Af
Shot Distance (8ft),Less Than 8 ft.,366,607,0.603,0,0,0,0.603,68,0.404,0.596,0,0,0.404,0.596,1,2,1,2,4,2,1,5,1,3,2,2,2,3,172,Less Than 8 ft.,NA,Af
Shot Distance (8ft),8-16 ft.,30,83,0.361,0,0,0,0.361,5,0.2,0.8,0,0,0.2,0.8,3,3,3,2,4,2,4,3,2,2,2,2,3,2,172,8-16 ft.,NA,Af
Shot Distance (8ft),16-24 ft.,17,46,0.37,0,1,0,0.37,0,0.176,0.824,0,0,0.176,0.824,4,4,2,2,3,2,3,1,3,1,2,2,4,1,172,16-24 ft.,NA,Af
Shot Distance (8ft),24+ ft.,280,790,0.354,280,790,0.354,0.532,9,0,0,0.746,0.254,0.746,0.254,2,1,4,1,1,1,2,4,4,4,1,1,1,4,172,24+ ft.,NA,Af
Shot Distance (8ft),Back Court Shot,0,5,0,0,5,0,0,0,0,0,0,0,0,0,5,5,5,2,2,2,5,1,4,4,2,2,5,5,172,Back Court Shot,NA,Af
Shot Area,Restricted Area,338,521,0.649,0,0,0,0.649,49,0.42,0.58,0,0,0.42,0.58,1,2,1,4,6,4,1,7,1,1,4,4,4,1,173,Restricted Area,NA,Af
Shot Area,In The Paint (Non-RA),42,134,0.313,0,0,0,0.313,23,0.262,0.738,0,0,0.262,0.738,4,3,6,4,6,4,5,6,2,2,4,4,5,3,173,In The Paint (Non-RA),NA,Af
Shot Area,Mid-Range,33,81,0.407,0,1,0,0.407,1,0.121,0.879,0,0,0.121,0.879,6,6,4,4,5,4,6,3,3,3,4,4,6,4,173,Mid-Range,NA,Af
Shot Area,Left Corner 3,36,86,0.419,36,86,0.419,0.628,0,0,0,0.889,0.111,0.889,0.111,5,5,2,3,3,1,4,1,4,4,2,2,2,5,173,Left Corner 3,NA,Af
Shot Area,Right Corner 3,50,120,0.417,50,120,0.417,0.625,1,0,0,0.96,0.04,0.96,0.04,3,4,3,2,2,2,3,3,4,4,1,3,1,6,173,Right Corner 3,NA,Af
Shot Area,Above the Break 3,194,584,0.332,194,584,0.332,0.498,8,0,0,0.665,0.335,0.665,0.335,2,1,5,1,1,3,2,5,4,4,3,1,3,2,173,Above the Break 3,NA,Af
Shot Area,Backcourt,0,5,0,0,5,0,0,0,0,0,0,0,0,0,7,7,7,4,4,4,7,1,4,4,4,4,7,7,173,Backcourt,NA,Af
Assisted Shot,Assisted,366,366,1,209,209,1,1.286,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,2,1,2,1,2,169,Assisted,NA,Af
Assisted Shot,Unassisted,327,327,1,71,71,1,1.109,0,0,1,0,1,0,1,2,2,1,2,2,1,2,1,2,1,2,1,2,1,169,Unassisted,NA,Af
Shot Type,Alley Oop Dunk Shot,10,10,1,0,0,0,1,0,1,0,0,0,1,0,15,20,1,6,8,6,1,1,1,28,6,6,1,29,174,Alley Oop Dunk Shot,NA,Af
Shot Type,Alley Oop Layup shot,1,4,0.25,0,0,0,0.25,0,1,0,0,0,1,0,29,27,36,6,8,6,36,1,1,28,6,6,1,29,174,Alley Oop Layup shot,NA,Af
Shot Type,Cutting Dunk Shot,10,11,0.909,0,0,0,0.909,0,1,0,0,0,1,0,15,18,9,6,8,6,9,1,1,28,6,6,1,29,174,Cutting Dunk Shot,NA,Af
Shot Type,Cutting Finger Roll Layup Shot,2,2,1,0,0,0,1,0,1,0,0,0,1,0,25,31,1,6,8,6,1,1,1,28,6,6,1,29,174,Cutting Finger Roll Layup Shot,NA,Af
Shot Type,Cutting Layup Shot,24,35,0.686,0,0,0,0.686,5,1,0,0,0,1,0,7,8,15,6,8,6,16,39,1,28,6,6,1,29,174,Cutting Layup Shot,NA,Af
Shot Type,Driving Bank Hook Shot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,39,38,6,8,6,38,1,21,28,6,6,24,29,174,Driving Bank Hook Shot,NA,Af
Shot Type,Driving Dunk Shot,12,14,0.857,0,0,0,0.857,0,0.583,0.417,0,0,0.583,0.417,14,15,11,6,8,6,11,1,11,26,6,6,12,26,174,Driving Dunk Shot,NA,Af
